dataset,sigma,seed,layer,dfe,performance,label
heloc,0.1,16.0,3.0,0.02851399965584278,0.7377215189873417,marginal
heloc,0.1,16.0,3.0,0.021861571818590164,0.7377215189873417,conditional
heloc,0.1,16.0,3.0,0.003727753283817596,0.7377215189873417,accumulated
heloc,0.1,16.0,2.0,0.033529870212078094,0.7356962025316456,marginal
heloc,0.1,16.0,2.0,0.024531550705432892,0.7356962025316456,conditional
heloc,0.1,16.0,2.0,0.005353330840304773,0.7356962025316456,accumulated
heloc,0.1,16.0,1.0,0.04464134946465492,0.7265822784810126,marginal
heloc,0.1,16.0,1.0,0.03632323816418648,0.7265822784810126,conditional
heloc,0.1,16.0,1.0,0.020566086541932975,0.7265822784810126,accumulated
heloc,0.1,17.0,3.0,0.0035623516887426376,0.7382278481012658,marginal
heloc,0.1,17.0,3.0,0.0023299099411815405,0.7382278481012658,conditional
heloc,0.1,17.0,3.0,0.0007584599295422432,0.7382278481012658,accumulated
heloc,0.1,17.0,2.0,0.04600535333156586,0.7291139240506329,marginal
heloc,0.1,17.0,2.0,0.0347803458571434,0.7291139240506329,conditional
heloc,0.1,17.0,2.0,0.00539973177439941,0.7291139240506329,accumulated
heloc,0.1,17.0,1.0,0.2796842157840729,0.590379746835443,marginal
heloc,0.1,17.0,1.0,0.22637441754341125,0.590379746835443,conditional
heloc,0.1,17.0,1.0,0.03965833361824198,0.590379746835443,accumulated
heloc,0.1,18.0,3.0,0.017193691805005074,0.7336708860759493,marginal
heloc,0.1,18.0,3.0,0.013514327816665173,0.7336708860759493,conditional
heloc,0.1,18.0,3.0,0.002426313756292047,0.7336708860759493,accumulated
heloc,0.1,18.0,2.0,0.05989998206496239,0.7270886075949367,marginal
heloc,0.1,18.0,2.0,0.043714363127946854,0.7270886075949367,conditional
heloc,0.1,18.0,2.0,0.007489934096057045,0.7270886075949367,accumulated
heloc,0.1,18.0,1.0,0.3179914355278015,0.56,marginal
heloc,0.1,18.0,1.0,0.2563248574733734,0.56,conditional
heloc,0.1,18.0,1.0,0.04425311307203676,0.56,accumulated
heloc,0.1,19.0,3.0,0.013486667536199093,0.7341772151898734,marginal
heloc,0.1,19.0,3.0,0.010442448779940605,0.7341772151898734,conditional
heloc,0.1,19.0,3.0,0.0017715176275087657,0.7341772151898734,accumulated
heloc,0.1,19.0,2.0,0.005315444897860289,0.7377215189873417,marginal
heloc,0.1,19.0,2.0,0.005333114415407181,0.7377215189873417,conditional
heloc,0.1,19.0,2.0,0.0030407466620451227,0.7377215189873417,accumulated
heloc,0.1,19.0,1.0,0.17143502831459045,0.6724050632911392,marginal
heloc,0.1,19.0,1.0,0.13091282546520233,0.6724050632911392,conditional
heloc,0.1,19.0,1.0,0.026582027031884715,0.6724050632911392,accumulated
heloc,0.25,0.0,3.0,0.09037798643112183,0.7215189873417721,marginal
heloc,0.25,0.0,3.0,0.06837943941354752,0.7215189873417721,conditional
heloc,0.25,0.0,3.0,0.010212223230394927,0.7215189873417721,accumulated
heloc,0.25,0.0,2.0,0.14196670055389404,0.6860759493670886,marginal
heloc,0.25,0.0,2.0,0.11902954429388046,0.6860759493670886,conditional
heloc,0.25,0.0,2.0,0.03368643774256019,0.6860759493670886,accumulated
heloc,0.25,0.0,1.0,0.3902774751186371,0.520506329113924,marginal
heloc,0.25,0.0,1.0,0.34038636088371277,0.520506329113924,conditional
heloc,0.25,0.0,1.0,0.0791254368765453,0.520506329113924,accumulated
heloc,0.25,1.0,3.0,0.03307422995567322,0.7356962025316456,marginal
heloc,0.25,1.0,3.0,0.025860311463475227,0.7356962025316456,conditional
heloc,0.25,1.0,3.0,0.00573678574852705,0.7356962025316456,accumulated
heloc,0.25,1.0,2.0,0.08001764118671417,0.7275949367088608,marginal
heloc,0.25,1.0,2.0,0.07643786072731018,0.7275949367088608,conditional
heloc,0.25,1.0,2.0,0.02374393631569035,0.7275949367088608,accumulated
heloc,0.25,1.0,1.0,0.1276867836713791,0.649620253164557,marginal
heloc,0.25,1.0,1.0,0.11684145033359528,0.649620253164557,conditional
heloc,0.25,1.0,1.0,0.05167378428114464,0.649620253164557,accumulated
heloc,0.25,2.0,3.0,0.023265356197953224,0.7367088607594937,marginal
heloc,0.25,2.0,3.0,0.01758921891450882,0.7367088607594937,conditional
heloc,0.25,2.0,3.0,0.003741027743131284,0.7367088607594937,accumulated
heloc,0.25,2.0,2.0,0.02887452393770218,0.7311392405063292,marginal
heloc,0.25,2.0,2.0,0.0257416982203722,0.7311392405063292,conditional
heloc,0.25,2.0,2.0,0.013553351575420147,0.7311392405063292,accumulated
heloc,0.25,2.0,1.0,0.3256979286670685,0.5250632911392406,marginal
heloc,0.25,2.0,1.0,0.27914369106292725,0.5250632911392406,conditional
heloc,0.25,2.0,1.0,0.05871799123635165,0.5250632911392406,accumulated
heloc,0.25,3.0,3.0,0.02009366825222969,0.7367088607594937,marginal
heloc,0.25,3.0,3.0,0.015186111442744732,0.7367088607594937,conditional
heloc,0.25,3.0,3.0,0.002707831663675853,0.7367088607594937,accumulated
heloc,0.25,3.0,2.0,0.017010284587740898,0.7362025316455696,marginal
heloc,0.25,3.0,2.0,0.012779338285326958,0.7362025316455696,conditional
heloc,0.25,3.0,2.0,0.010184794774264374,0.7362025316455696,accumulated
heloc,0.25,3.0,1.0,0.3869461119174957,0.5215189873417722,marginal
heloc,0.25,3.0,1.0,0.3374466300010681,0.5215189873417722,conditional
heloc,0.25,3.0,1.0,0.07781315220433158,0.5215189873417722,accumulated
heloc,0.25,4.0,3.0,0.12794388830661774,0.710886075949367,marginal
heloc,0.25,4.0,3.0,0.09807554632425308,0.710886075949367,conditional
heloc,0.25,4.0,3.0,0.013479750127549917,0.710886075949367,accumulated
heloc,0.25,4.0,2.0,0.3119426965713501,0.5255696202531646,marginal
heloc,0.25,4.0,2.0,0.2650628387928009,0.5255696202531646,conditional
heloc,0.25,4.0,2.0,0.053226919283018016,0.5255696202531646,accumulated
heloc,0.25,4.0,1.0,0.39065322279930115,0.520506329113924,marginal
heloc,0.25,4.0,1.0,0.34066107869148254,0.520506329113924,conditional
heloc,0.25,4.0,1.0,0.07942578470710672,0.520506329113924,accumulated
heloc,0.25,5.0,3.0,0.06772761046886444,0.7255696202531645,marginal
heloc,0.25,5.0,3.0,0.05116388946771622,0.7255696202531645,conditional
heloc,0.25,5.0,3.0,0.007777257065699634,0.7255696202531645,accumulated
heloc,0.25,5.0,2.0,0.284525603055954,0.5858227848101266,marginal
heloc,0.25,5.0,2.0,0.2356235533952713,0.5858227848101266,conditional
heloc,0.25,5.0,2.0,0.04406700675566571,0.5858227848101266,accumulated
heloc,0.25,5.0,1.0,0.3908923268318176,0.520506329113924,marginal
heloc,0.25,5.0,1.0,0.3408869802951813,0.520506329113924,conditional
heloc,0.25,5.0,1.0,0.07945623524748731,0.520506329113924,accumulated
heloc,0.25,6.0,3.0,0.0024991759564727545,0.7377215189873417,marginal
heloc,0.25,6.0,3.0,0.00242070690728724,0.7377215189873417,conditional
heloc,0.25,6.0,3.0,0.001832886546235786,0.7377215189873417,accumulated
heloc,0.25,6.0,2.0,0.063531294465065,0.72,marginal
heloc,0.25,6.0,2.0,0.050257083028554916,0.72,conditional
heloc,0.25,6.0,2.0,0.016140858522611396,0.72,accumulated
heloc,0.25,6.0,1.0,0.3769448697566986,0.520506329113924,marginal
heloc,0.25,6.0,1.0,0.32417699694633484,0.520506329113924,conditional
heloc,0.25,6.0,1.0,0.07343905289838588,0.520506329113924,accumulated
heloc,0.25,7.0,3.0,0.02237762324512005,0.7321518987341772,marginal
heloc,0.25,7.0,3.0,0.015973364934325218,0.7321518987341772,conditional
heloc,0.25,7.0,3.0,0.0026236091601451158,0.7321518987341772,accumulated
heloc,0.25,7.0,2.0,0.06314683705568314,0.7270886075949367,marginal
heloc,0.25,7.0,2.0,0.051126282662153244,0.7270886075949367,conditional
heloc,0.25,7.0,2.0,0.014862378550513798,0.7270886075949367,accumulated
heloc,0.25,7.0,1.0,0.24061299860477448,0.6182278481012659,marginal
heloc,0.25,7.0,1.0,0.20215478539466858,0.6182278481012659,conditional
heloc,0.25,7.0,1.0,0.05131744223796638,0.6182278481012659,accumulated
heloc,0.25,8.0,3.0,0.078646719455719,0.7215189873417721,marginal
heloc,0.25,8.0,3.0,0.05965769290924072,0.7215189873417721,conditional
heloc,0.25,8.0,3.0,0.00913937969944918,0.7215189873417721,accumulated
heloc,0.25,8.0,2.0,0.3347316086292267,0.5270886075949367,marginal
heloc,0.25,8.0,2.0,0.2865979075431824,0.5270886075949367,conditional
heloc,0.25,8.0,2.0,0.05681188654903043,0.5270886075949367,accumulated
heloc,0.25,8.0,1.0,0.39088502526283264,0.520506329113924,marginal
heloc,0.25,8.0,1.0,0.3408815264701843,0.520506329113924,conditional
heloc,0.25,8.0,1.0,0.07945650414756232,0.520506329113924,accumulated
heloc,0.25,9.0,3.0,0.01835007593035698,0.7362025316455696,marginal
heloc,0.25,9.0,3.0,0.013029453344643116,0.7362025316455696,conditional
heloc,0.25,9.0,3.0,0.0024777459008038234,0.7362025316455696,accumulated
heloc,0.25,9.0,2.0,0.04858113452792168,0.7235443037974684,marginal
heloc,0.25,9.0,2.0,0.04043404385447502,0.7235443037974684,conditional
heloc,0.25,9.0,2.0,0.011607209700318113,0.7235443037974684,accumulated
heloc,0.25,9.0,1.0,0.3298147916793823,0.550379746835443,marginal
heloc,0.25,9.0,1.0,0.28338873386383057,0.550379746835443,conditional
heloc,0.25,9.0,1.0,0.059847661598339166,0.550379746835443,accumulated
heloc,0.25,10.0,3.0,0.03144939988851547,0.7377215189873417,marginal
heloc,0.25,10.0,3.0,0.024208951741456985,0.7377215189873417,conditional
heloc,0.25,10.0,3.0,0.004738261330378328,0.7377215189873417,accumulated
heloc,0.25,10.0,2.0,0.015805991366505623,0.7316455696202532,marginal
heloc,0.25,10.0,2.0,0.015978816896677017,0.7316455696202532,conditional
heloc,0.25,10.0,2.0,0.010216981921219611,0.7316455696202532,accumulated
heloc,0.25,10.0,1.0,0.3832949697971344,0.520506329113924,marginal
heloc,0.25,10.0,1.0,0.33371981978416443,0.520506329113924,conditional
heloc,0.25,10.0,1.0,0.08092716772456114,0.520506329113924,accumulated
heloc,0.25,11.0,3.0,0.08456379920244217,0.7220253164556962,marginal
heloc,0.25,11.0,3.0,0.06440171599388123,0.7220253164556962,conditional
heloc,0.25,11.0,3.0,0.009455346204036865,0.7220253164556962,accumulated
heloc,0.25,11.0,2.0,0.01045286189764738,0.7377215189873417,marginal
heloc,0.25,11.0,2.0,0.015005743131041527,0.7377215189873417,conditional
heloc,0.25,11.0,2.0,0.010754018755467049,0.7377215189873417,accumulated
heloc,0.25,11.0,1.0,0.352107971906662,0.5341772151898734,marginal
heloc,0.25,11.0,1.0,0.29750585556030273,0.5341772151898734,conditional
heloc,0.25,11.0,1.0,0.061374247074841744,0.5341772151898734,accumulated
heloc,0.25,12.0,3.0,0.08593195676803589,0.7265822784810126,marginal
heloc,0.25,12.0,3.0,0.06809631735086441,0.7265822784810126,conditional
heloc,0.25,12.0,3.0,0.01258786009705812,0.7265822784810126,accumulated
heloc,0.25,12.0,2.0,0.21376672387123108,0.7037974683544304,marginal
heloc,0.25,12.0,2.0,0.18304426968097687,0.7037974683544304,conditional
heloc,0.25,12.0,2.0,0.03528385247043982,0.7037974683544304,accumulated
heloc,0.25,12.0,1.0,0.1392381489276886,0.6754430379746835,marginal
heloc,0.25,12.0,1.0,0.11547314375638962,0.6754430379746835,conditional
heloc,0.25,12.0,1.0,0.04553827723917875,0.6754430379746835,accumulated
heloc,0.25,13.0,3.0,0.11575966328382492,0.7139240506329114,marginal
heloc,0.25,13.0,3.0,0.08981725573539734,0.7139240506329114,conditional
heloc,0.25,13.0,3.0,0.013935410180350036,0.7139240506329114,accumulated
heloc,0.25,13.0,2.0,0.2398539036512375,0.6141772151898734,marginal
heloc,0.25,13.0,2.0,0.19608518481254578,0.6141772151898734,conditional
heloc,0.25,13.0,2.0,0.03555520409602786,0.6141772151898734,accumulated
heloc,0.25,13.0,1.0,0.390697717666626,0.520506329113924,marginal
heloc,0.25,13.0,1.0,0.3407249450683594,0.520506329113924,conditional
heloc,0.25,13.0,1.0,0.07940370378912819,0.520506329113924,accumulated
heloc,0.25,14.0,3.0,0.10286321491003036,0.7230379746835442,marginal
heloc,0.25,14.0,3.0,0.0800776258111,0.7230379746835442,conditional
heloc,0.25,14.0,3.0,0.013808635929454747,0.7230379746835442,accumulated
heloc,0.25,14.0,2.0,0.11731419712305069,0.7179746835443038,marginal
heloc,0.25,14.0,2.0,0.10538823902606964,0.7179746835443038,conditional
heloc,0.25,14.0,2.0,0.02286741816206424,0.7179746835443038,accumulated
heloc,0.25,14.0,1.0,0.38976529240608215,0.520506329113924,marginal
heloc,0.25,14.0,1.0,0.3399004340171814,0.520506329113924,conditional
heloc,0.25,14.0,1.0,0.07914905683135838,0.520506329113924,accumulated
heloc,0.25,15.0,3.0,0.18615520000457764,0.710886075949367,marginal
heloc,0.25,15.0,3.0,0.16296111047267914,0.710886075949367,conditional
heloc,0.25,15.0,3.0,0.020325589643055555,0.710886075949367,accumulated
heloc,0.25,15.0,2.0,0.19225333631038666,0.7124050632911393,marginal
heloc,0.25,15.0,2.0,0.1686243712902069,0.7124050632911393,conditional
heloc,0.25,15.0,2.0,0.026679237178725345,0.7124050632911393,accumulated
heloc,0.25,15.0,1.0,0.3851696848869324,0.520506329113924,marginal
heloc,0.25,15.0,1.0,0.33587411046028137,0.520506329113924,conditional
heloc,0.25,15.0,1.0,0.07858920804737425,0.520506329113924,accumulated
heloc,0.25,16.0,3.0,0.0666062980890274,0.730632911392405,marginal
heloc,0.25,16.0,3.0,0.051549412310123444,0.730632911392405,conditional
heloc,0.25,16.0,3.0,0.009274321278593393,0.730632911392405,accumulated
heloc,0.25,16.0,2.0,0.05998757481575012,0.7311392405063292,marginal
heloc,0.25,16.0,2.0,0.04448020085692406,0.7311392405063292,conditional
heloc,0.25,16.0,2.0,0.01667273033523966,0.7311392405063292,accumulated
heloc,0.25,16.0,1.0,0.08989880234003067,0.6941772151898734,marginal
heloc,0.25,16.0,1.0,0.08329413086175919,0.6941772151898734,conditional
heloc,0.25,16.0,1.0,0.0442948384366251,0.6941772151898734,accumulated
heloc,0.25,17.0,3.0,0.009149281308054924,0.7387341772151899,marginal
heloc,0.25,17.0,3.0,0.006019007880240679,0.7387341772151899,conditional
heloc,0.25,17.0,3.0,0.0019753371303748847,0.7387341772151899,accumulated
heloc,0.25,17.0,2.0,0.3426005244255066,0.5225316455696203,marginal
heloc,0.25,17.0,2.0,0.2954086363315582,0.5225316455696203,conditional
heloc,0.25,17.0,2.0,0.06111714888495662,0.5225316455696203,accumulated
heloc,0.25,17.0,1.0,0.3908902406692505,0.520506329113924,marginal
heloc,0.25,17.0,1.0,0.3408835828304291,0.520506329113924,conditional
heloc,0.25,17.0,1.0,0.07945649229686366,0.520506329113924,accumulated
heloc,0.25,18.0,3.0,0.03909790888428688,0.730126582278481,marginal
heloc,0.25,18.0,3.0,0.030460240319371223,0.730126582278481,conditional
heloc,0.25,18.0,3.0,0.005426690695769874,0.730126582278481,accumulated
heloc,0.25,18.0,2.0,0.18862740695476532,0.6759493670886076,marginal
heloc,0.25,18.0,2.0,0.1432264745235443,0.6759493670886076,conditional
heloc,0.25,18.0,2.0,0.026328071586842295,0.6759493670886076,accumulated
heloc,0.25,18.0,1.0,0.3908699154853821,0.520506329113924,marginal
heloc,0.25,18.0,1.0,0.34085991978645325,0.520506329113924,conditional
heloc,0.25,18.0,1.0,0.07944638019782613,0.520506329113924,accumulated
heloc,0.25,19.0,3.0,0.035830747336149216,0.7296202531645569,marginal
heloc,0.25,19.0,3.0,0.027705788612365723,0.7296202531645569,conditional
heloc,0.25,19.0,3.0,0.004515647196045182,0.7296202531645569,accumulated
heloc,0.25,19.0,2.0,0.045014556497335434,0.7311392405063292,marginal
heloc,0.25,19.0,2.0,0.03688586875796318,0.7311392405063292,conditional
heloc,0.25,19.0,2.0,0.01206208444926645,0.7311392405063292,accumulated
heloc,0.25,19.0,1.0,0.38252022862434387,0.520506329113924,marginal
heloc,0.25,19.0,1.0,0.330513596534729,0.520506329113924,conditional
heloc,0.25,19.0,1.0,0.07437115439394254,0.520506329113924,accumulated
heloc,0.5,0.0,3.0,0.16136035323143005,0.690632911392405,marginal
heloc,0.5,0.0,3.0,0.12405197322368622,0.690632911392405,conditional
heloc,0.5,0.0,3.0,0.018836019565277664,0.690632911392405,accumulated
heloc,0.5,0.0,2.0,0.340984970331192,0.5275949367088607,marginal
heloc,0.5,0.0,2.0,0.30751505494117737,0.5275949367088607,conditional
